version_full,title,genre,artist,version,difficulty_short,difficulty,level,notes,bpm,bpm_min,bpm_max,measure,duration,kaiden_average,top_score
1st&substream,celebrate,SOUL CLASSIC,JJ COMPANY,1,SPN,2,3,280,134,134,134,51,91,-1,-1
1st&substream,celebrate,SOUL CLASSIC,JJ COMPANY,1,SPH,3,6,280,134,134,134,51,91,-1,-1
1st&substream,celebrate,SOUL CLASSIC,JJ COMPANY,1,SPH,3,6,280,134,134,134,51,91,-1,-1
1st&substream,celebrate,SOUL CLASSIC,JJ COMPANY,1,SPA,4,8,427,134,134,134,51,91,-1,-1
1st&substream,celebrate,SOUL CLASSIC,JJ COMPANY,1,SPA,4,8,427,134,134,134,51,91,-1,-1
1st&substream,celebrate,SOUL CLASSIC,JJ COMPANY,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,celebrate,SOUL CLASSIC,JJ COMPANY,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,celebrate,SOUL CLASSIC,JJ COMPANY,1,DPN,6,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,celebrate,SOUL CLASSIC,JJ COMPANY,1,DPN,6,5,417,134,134,134,51,91,-1,-1
1st&substream,celebrate,SOUL CLASSIC,JJ COMPANY,1,DPH,7,8,417,134,134,134,51,91,-1,-1
1st&substream,celebrate,SOUL CLASSIC,JJ COMPANY,1,DPH,7,8,417,134,134,134,51,91,-1,-1
1st&substream,celebrate,SOUL CLASSIC,JJ COMPANY,1,DPA,8,10,457,134,134,134,51,91,-1,-1
1st&substream,celebrate,SOUL CLASSIC,JJ COMPANY,1,DPA,8,10,457,134,134,134,51,91,-1,-1
1st&substream,celebrate,SOUL CLASSIC,JJ COMPANY,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,celebrate,SOUL CLASSIC,JJ COMPANY,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Deep Clear Eyes,DRUM'N BASS,QUADRA,1,SPB,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Deep Clear Eyes,DRUM'N BASS,QUADRA,1,SPN,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Deep Clear Eyes,DRUM'N BASS,QUADRA,1,SPH,3,4,276,155,155,155,50,77,-1,-1
1st&substream,Deep Clear Eyes,DRUM'N BASS,QUADRA,1,SPA,4,5,247,155,155,155,50,77,-1,-1
1st&substream,Deep Clear Eyes,DRUM'N BASS,QUADRA,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Deep Clear Eyes,DRUM'N BASS,QUADRA,1,DPN,6,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Deep Clear Eyes,DRUM'N BASS,QUADRA,1,DPH,7,6,307,155,155,155,50,77,-1,-1
1st&substream,Deep Clear Eyes,DRUM'N BASS,QUADRA,1,DPA,8,6,247,155,155,155,50,77,-1,-1
1st&substream,Deep Clear Eyes,DRUM'N BASS,QUADRA,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,deep in you,DANCE POP,dj nagureo,1,SPB,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,deep in you,DANCE POP,dj nagureo,1,SPN,2,4,250,126,126,126,40,76,466,500
1st&substream,deep in you,DANCE POP,dj nagureo,1,SPH,3,4,255,126,126,126,40,76,463,510
1st&substream,deep in you,DANCE POP,dj nagureo,1,SPA,4,5,333,126,126,126,40,76,616,666
1st&substream,deep in you,DANCE POP,dj nagureo,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,deep in you,DANCE POP,dj nagureo,1,DPN,6,3,293,126,126,126,40,76,-1,-1
1st&substream,deep in you,DANCE POP,dj nagureo,1,DPH,7,4,293,126,126,126,40,76,-1,-1
1st&substream,deep in you,DANCE POP,dj nagureo,1,DPA,8,7,364,126,126,126,40,76,-1,-1
1st&substream,deep in you,DANCE POP,dj nagureo,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,diving money,DRUMN BASS,QUADRA,1,SPB,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,diving money,DRUMN BASS,QUADRA,1,SPN,2,1,131,150,150,150,47,75,-1,-1
1st&substream,diving money,DRUMN BASS,QUADRA,1,SPH,3,2,197,150,150,150,47,75,-1,-1
1st&substream,diving money,DRUMN BASS,QUADRA,1,SPA,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,diving money,DRUMN BASS,QUADRA,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,diving money,DRUMN BASS,QUADRA,1,DPN,6,2,147,150,150,150,47,75,-1,-1
1st&substream,diving money,DRUMN BASS,QUADRA,1,DPH,7,4,242,150,150,150,47,75,-1,-1
1st&substream,diving money,DRUMN BASS,QUADRA,1,DPA,8,5,324,150,150,150,47,75,-1,-1
1st&substream,diving money,DRUMN BASS,QUADRA,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Do you love me?,BALLAD,reo-nagumo,1,SPB,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Do you love me?,BALLAD,reo-nagumo,1,SPN,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Do you love me?,BALLAD,reo-nagumo,1,SPH,3,2,155,100,100,100,31,74,-1,-1
1st&substream,Do you love me?,BALLAD,reo-nagumo,1,SPA,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Do you love me?,BALLAD,reo-nagumo,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Do you love me?,BALLAD,reo-nagumo,1,DPN,6,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Do you love me?,BALLAD,reo-nagumo,1,DPH,7,4,252,100,100,100,31,74,-1,-1
1st&substream,Do you love me?,BALLAD,reo-nagumo,1,DPA,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Do you love me?,BALLAD,reo-nagumo,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Dr.LOVE,DANCE POP,baby weapon  feat.Asuka.M,1,SPB,1,1,122,123,123,123,49,96,-1,-1
1st&substream,Dr.LOVE,DANCE POP,baby weapon  feat.Asuka.M,1,SPN,2,2,204,123,123,123,49,96,382,408
1st&substream,Dr.LOVE,DANCE POP,baby weapon  feat.Asuka.M,1,SPH,3,3,261,123,123,123,49,96,464,522
1st&substream,Dr.LOVE,DANCE POP,baby weapon  feat.Asuka.M,1,SPA,4,4,290,123,123,123,49,96,547,580
1st&substream,Dr.LOVE,DANCE POP,baby weapon  feat.Asuka.M,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Dr.LOVE,DANCE POP,baby weapon  feat.Asuka.M,1,DPN,6,3,259,123,123,123,49,96,-1,-1
1st&substream,Dr.LOVE,DANCE POP,baby weapon  feat.Asuka.M,1,DPH,7,4,321,123,123,123,49,96,-1,-1
1st&substream,Dr.LOVE,DANCE POP,baby weapon  feat.Asuka.M,1,DPA,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Dr.LOVE,DANCE POP,baby weapon  feat.Asuka.M,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,e-motion,RAVE,e.o.s.,1,SPB,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,e-motion,RAVE,e.o.s.,1,SPB,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,e-motion,RAVE,e.o.s.,1,SPN,2,1,96,145,140,145,40,66,-1,-1
1st&substream,e-motion,RAVE,e.o.s.,1,SPN,2,1,96,145,140,145,40,66,-1,-1
1st&substream,e-motion,RAVE,e.o.s.,1,SPH,3,2,96,145,140,145,40,66,-1,-1
1st&substream,e-motion,RAVE,e.o.s.,1,SPH,3,2,96,145,140,145,40,66,-1,-1
1st&substream,e-motion,RAVE,e.o.s.,1,SPA,4,3,192,145,140,145,40,66,-1,-1
1st&substream,e-motion,RAVE,e.o.s.,1,SPA,4,3,192,145,140,145,40,66,-1,-1
1st&substream,e-motion,RAVE,e.o.s.,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,e-motion,RAVE,e.o.s.,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,e-motion,RAVE,e.o.s.,1,DPN,6,1,123,145,140,145,40,66,-1,-1
1st&substream,e-motion,RAVE,e.o.s.,1,DPN,6,1,123,145,140,145,40,66,-1,-1
1st&substream,e-motion,RAVE,e.o.s.,1,DPH,7,2,123,145,140,145,40,66,-1,-1
1st&substream,e-motion,RAVE,e.o.s.,1,DPH,7,2,123,145,140,145,40,66,-1,-1
1st&substream,e-motion,RAVE,e.o.s.,1,DPA,8,5,246,145,140,145,40,66,-1,-1
1st&substream,e-motion,RAVE,e.o.s.,1,DPA,8,5,246,145,140,145,40,66,-1,-1
1st&substream,e-motion,RAVE,e.o.s.,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,e-motion,RAVE,e.o.s.,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,g.m.d.,HIPHOP,DJ mazinger featuring Muhammad,1,SPB,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,g.m.d.,HIPHOP,DJ mazinger featuring Muhammad,1,SPN,2,1,159,100,100,100,33,79,-1,-1
1st&substream,g.m.d.,HIPHOP,DJ mazinger featuring Muhammad,1,SPH,3,2,176,100,100,100,33,79,-1,-1
1st&substream,g.m.d.,HIPHOP,DJ mazinger featuring Muhammad,1,SPA,4,3,184,100,100,100,33,79,-1,-1
1st&substream,g.m.d.,HIPHOP,DJ mazinger featuring Muhammad,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,g.m.d.,HIPHOP,DJ mazinger featuring Muhammad,1,DPN,6,2,186,100,100,100,33,79,-1,-1
1st&substream,g.m.d.,HIPHOP,DJ mazinger featuring Muhammad,1,DPH,7,5,211,100,100,100,33,79,-1,-1
1st&substream,g.m.d.,HIPHOP,DJ mazinger featuring Muhammad,1,DPA,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,g.m.d.,HIPHOP,DJ mazinger featuring Muhammad,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,GAMBOL,BIG BEAT,SLAKE,1,SPB,1,1,135,102,102,102,29,68,-1,68
1st&substream,GAMBOL,BIG BEAT,SLAKE,1,SPN,2,2,137,102,102,102,29,68,257,274
1st&substream,GAMBOL,BIG BEAT,SLAKE,1,SPH,3,2,137,102,102,102,29,68,247,274
1st&substream,GAMBOL,BIG BEAT,SLAKE,1,SPA,4,12,137,102,102,102,29,68,247,-1
1st&substream,GAMBOL,BIG BEAT,SLAKE,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,GAMBOL,BIG BEAT,SLAKE,1,DPN,6,2,137,102,102,102,29,68,-1,-1
1st&substream,GAMBOL,BIG BEAT,SLAKE,1,DPH,7,2,137,102,102,102,29,68,-1,-1
1st&substream,GAMBOL,BIG BEAT,SLAKE,1,DPA,8,12,137,102,102,102,29,68,-1,-1
1st&substream,GAMBOL,BIG BEAT,SLAKE,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,1,SPB,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,1,SPN,2,3,211,150,150,150,49,78,378,422
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,1,SPH,3,6,417,150,150,150,49,78,755,834
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,1,SPA,4,9,536,150,150,150,49,78,1000,1072
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,1,DPN,6,3,211,150,150,150,49,78,-1,-1
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,1,DPH,7,6,417,150,150,150,49,78,-1,-1
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,1,DPA,8,9,538,150,150,150,49,78,-1,-1
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,gentle stress,DRUM'N'BASS,DJ Swan,1,SPB,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,gentle stress,DRUM'N'BASS,DJ Swan,1,SPN,2,2,172,175,175,175,69,95,330,344
1st&substream,gentle stress,DRUM'N'BASS,DJ Swan,1,SPH,3,4,342,175,175,175,69,95,633,684
1st&substream,gentle stress,DRUM'N'BASS,DJ Swan,1,SPA,4,9,728,175,175,175,69,95,1383,1456
1st&substream,gentle stress,DRUM'N'BASS,DJ Swan,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,gentle stress,DRUM'N'BASS,DJ Swan,1,DPN,6,3,272,175,175,175,69,95,-1,-1
1st&substream,gentle stress,DRUM'N'BASS,DJ Swan,1,DPH,7,5,351,175,175,175,69,95,-1,-1
1st&substream,gentle stress,DRUM'N'BASS,DJ Swan,1,DPA,8,9,772,175,175,175,69,95,-1,-1
1st&substream,gentle stress,DRUM'N'BASS,DJ Swan,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,GRADIUSIC CYBER,DIGI-ROCK,TAKA,1,SPB,1,2,372,167,159,167,66,95,-1,-1
1st&substream,GRADIUSIC CYBER,DIGI-ROCK,TAKA,1,SPN,2,5,442,167,159,167,66,95,825,884
1st&substream,GRADIUSIC CYBER,DIGI-ROCK,TAKA,1,SPH,3,6,508,167,159,167,66,95,888,1015
1st&substream,GRADIUSIC CYBER,DIGI-ROCK,TAKA,1,SPA,4,7,609,167,160,167,66,95,1123,1217
1st&substream,GRADIUSIC CYBER,DIGI-ROCK,TAKA,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,GRADIUSIC CYBER,DIGI-ROCK,TAKA,1,DPN,6,4,409,167,159,167,66,95,-1,-1
1st&substream,GRADIUSIC CYBER,DIGI-ROCK,TAKA,1,DPH,7,9,556,167,159,167,66,95,-1,-1
1st&substream,GRADIUSIC CYBER,DIGI-ROCK,TAKA,1,DPA,8,9,631,167,160,167,66,95,-1,-1
1st&substream,GRADIUSIC CYBER,DIGI-ROCK,TAKA,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,into the world,WORLD GROOVE,QUADRA,1,SPB,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,into the world,WORLD GROOVE,QUADRA,1,SPN,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,into the world,WORLD GROOVE,QUADRA,1,SPH,3,3,153,126,126,126,38,72,-1,-1
1st&substream,into the world,WORLD GROOVE,QUADRA,1,SPA,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,into the world,WORLD GROOVE,QUADRA,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,into the world,WORLD GROOVE,QUADRA,1,DPN,6,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,into the world,WORLD GROOVE,QUADRA,1,DPH,7,4,176,126,126,126,38,72,-1,-1
1st&substream,into the world,WORLD GROOVE,QUADRA,1,DPA,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,into the world,WORLD GROOVE,QUADRA,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,jam jam reggae,REGGAE,Jam Master'73,1,SPB,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,jam jam reggae,REGGAE,Jam Master'73,1,SPN,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,jam jam reggae,REGGAE,Jam Master'73,1,SPH,3,1,62,90,90,90,27,72,-1,-1
1st&substream,jam jam reggae,REGGAE,Jam Master'73,1,SPA,4,3,139,90,90,90,27,72,-1,-1
1st&substream,jam jam reggae,REGGAE,Jam Master'73,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,jam jam reggae,REGGAE,Jam Master'73,1,DPN,6,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,jam jam reggae,REGGAE,Jam Master'73,1,DPH,7,1,78,90,90,90,27,72,-1,-1
1st&substream,jam jam reggae,REGGAE,Jam Master'73,1,DPA,8,4,141,90,90,90,27,72,-1,-1
1st&substream,jam jam reggae,REGGAE,Jam Master'73,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,KEEP ON MOVIN',DANCE POP,N.M.R.,1,SPB,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,KEEP ON MOVIN',DANCE POP,N.M.R.,1,SPN,2,2,98,132,132,132,37,67,174,196
1st&substream,KEEP ON MOVIN',DANCE POP,N.M.R.,1,SPH,3,3,122,132,132,132,37,67,230,244
1st&substream,KEEP ON MOVIN',DANCE POP,N.M.R.,1,SPA,4,-1,-1,-1,-1,-1,-1,-1,230,-1
1st&substream,KEEP ON MOVIN',DANCE POP,N.M.R.,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,KEEP ON MOVIN',DANCE POP,N.M.R.,1,DPN,6,2,120,132,132,132,37,67,-1,-1
1st&substream,KEEP ON MOVIN',DANCE POP,N.M.R.,1,DPH,7,3,120,132,132,132,37,67,-1,-1
1st&substream,KEEP ON MOVIN',DANCE POP,N.M.R.,1,DPA,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,KEEP ON MOVIN',DANCE POP,N.M.R.,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,LOVE SO GROOVY,SOUL,LOVEMINTS,1,SPB,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,LOVE SO GROOVY,SOUL,LOVEMINTS,1,SPN,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,LOVE SO GROOVY,SOUL,LOVEMINTS,1,SPH,3,4,169,141,141,141,44,75,-1,-1
1st&substream,LOVE SO GROOVY,SOUL,LOVEMINTS,1,SPA,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,LOVE SO GROOVY,SOUL,LOVEMINTS,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,LOVE SO GROOVY,SOUL,LOVEMINTS,1,DPN,6,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,LOVE SO GROOVY,SOUL,LOVEMINTS,1,DPH,7,4,227,141,141,141,40,68,-1,-1
1st&substream,LOVE SO GROOVY,SOUL,LOVEMINTS,1,DPA,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,LOVE SO GROOVY,SOUL,LOVEMINTS,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Macho Gang,TRIBAL HOUSE,ANAL SPYDER,1,SPB,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Macho Gang,TRIBAL HOUSE,ANAL SPYDER,1,SPN,2,2,191,125,125,125,49,94,355,382
1st&substream,Macho Gang,TRIBAL HOUSE,ANAL SPYDER,1,SPH,3,7,548,125,125,125,49,94,952,1090
1st&substream,Macho Gang,TRIBAL HOUSE,ANAL SPYDER,1,SPA,4,10,837,125,125,125,49,94,1431,1669
1st&substream,Macho Gang,TRIBAL HOUSE,ANAL SPYDER,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Macho Gang,TRIBAL HOUSE,ANAL SPYDER,1,DPN,6,3,262,125,125,125,49,94,-1,-1
1st&substream,Macho Gang,TRIBAL HOUSE,ANAL SPYDER,1,DPH,7,11,836,125,125,125,49,94,-1,-1
1st&substream,Macho Gang,TRIBAL HOUSE,ANAL SPYDER,1,DPA,8,11,846,125,125,125,49,94,-1,-1
1st&substream,Macho Gang,TRIBAL HOUSE,ANAL SPYDER,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Melt in my arms,DANCE POP,Honey P feat. Asuka.M,1,SPB,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Melt in my arms,DANCE POP,Honey P feat. Asuka.M,1,SPN,2,3,203,118,118,118,43,87,-1,-1
1st&substream,Melt in my arms,DANCE POP,Honey P feat. Asuka.M,1,SPH,3,4,234,118,118,118,43,87,-1,-1
1st&substream,Melt in my arms,DANCE POP,Honey P feat. Asuka.M,1,SPA,4,4,254,118,118,118,43,87,-1,-1
1st&substream,Melt in my arms,DANCE POP,Honey P feat. Asuka.M,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Melt in my arms,DANCE POP,Honey P feat. Asuka.M,1,DPN,6,3,214,118,118,118,43,87,-1,-1
1st&substream,Melt in my arms,DANCE POP,Honey P feat. Asuka.M,1,DPH,7,4,254,118,118,118,43,87,-1,-1
1st&substream,Melt in my arms,DANCE POP,Honey P feat. Asuka.M,1,DPA,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Melt in my arms,DANCE POP,Honey P feat. Asuka.M,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
